Date,Price (p/kWh),Price (p/therm),Published At,System Generated At,Quality Indicator
2023-12-17,2.5843,75.73833853,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-18,2.6417,77.42056607,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-19,2.5425,74.51330175,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-20,2.4868,72.88089628,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-21,2.5088,73.52565247999999,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-22,2.6228,76.86666188,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-23,2.6775,78.46976025000001,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-24,2.5336,74.25246856,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-25,2.5618,75.07892878,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-26,2.7061,79.30794331,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-27,2.6934,78.93574314,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-28,2.7109,79.44861739,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-29,2.679,78.5137209,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-30,2.6067,76.39481757,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2023-12-31,2.5549,74.87670978999999,01/01/2024 11:40:00,01/01/2024 11:41:01,L
2024-01-01,2.4216,70.97007336,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-02,2.4129,70.71510159,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-03,2.6722,78.31443262,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-04,2.929,85.8404959,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-05,2.9712,87.07725552,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-06,2.9129,85.36865159,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-07,3.0238,88.61880898,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-08,2.8786,84.36341806,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-09,2.6873,78.75696983,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-10,2.7751,81.33013321,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-11,2.7035,79.23174485,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-12,2.8775,84.33118024999999,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-13,2.686,78.71887059999999,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-14,2.6781,78.48734451,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-15,2.6366,77.27109985999999,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-16,2.56,75.02617599999999,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-17,2.4196,70.91145915999999,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-18,2.4186,70.88215206,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-19,2.3893,70.02345403,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-20,2.4033,70.43375343,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-21,2.3276,68.21520595999999,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-22,2.293,67.2011803,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-23,2.2645,66.36592795,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-24,2.3225,68.06573974999999,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-25,2.3726,69.53402546,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-26,2.3227,68.07160117000001,01/02/2024 11:40:00,01/02/2024 11:41:00,L
2024-01-27,2.4971,73.18275941,01/02/2024 11:40:00,01/02/2024 11:41:00,L
